user_id,enjoys_wine_pairing,prefers_easy_reservation,ignores_michelin_reviews,memorable_service,memorable_ambiance,memorable_plating,memorable_wine,memorable_view,memorable_staff,memorable_creative,memorable_presentation,disappointed_overpriced,disappointed_rushed,disappointed_bland,disappointed_small_portion,disappointed_cold,disappointed_unfriendly
,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118908225336.0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
118907102233.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118906876734.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118906770082.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118905900529.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118905696456.0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
118905693332.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118905684111.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118905687496.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118905686357.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118905686225.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118905679935.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118905673387.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118905672789.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118905675231.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118905671963.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118905671213.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118905493386.0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
118905419114.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118905389207.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
118905369765.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118905361387.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
118905348824.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118905342502.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
118905333729.0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
118905334663.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118905333964.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118905331031.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118905319162.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118905316467.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118905308461.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
118905309199.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118905308425.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
118905308323.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118905309193.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118905308604.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118905301782.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118905304997.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
118905305626.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118905305069.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118905303248.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118905303632.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118905302489.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118905302624.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
